Country Name,Capital,Currency,Official Language,Head of Government
Monaco,Monaco,Euro,French; Italian; English,Minister of State – Serge Telle
Mongolia,Ulaanbaatar,Togrog,Mongolian,PM – Ukhnaagiin Khürelsükh
Montenegro,Podgorica,Euro,Montenegrin,PM – Duško Marković
Morocco,Rabat,Dirham,Arabic,PM-Saadeddine Othmani
Mozambique,Maputo,Metical,Portuguese,PM – Carlos Agostinho do Rosário
Myanmar (Burma),Rangoon,Kyat,Burmese,President– Win Myint
Namibia,Windhoek,Namibian dollar,English; Afrikaans; German,PM – Saara Kuugongelwa
Nepal,Kathmandu,Nepalese rupee,Nepali,PM – KP Sharma Oli
Netherlands,Amsterdam,Euro/Guilder,Dutch,PM – Mark Rutte
New Zealand,Wellington,Dollar,English,PM – Jacinda Ardern
Nicaragua,Managua,Gold cordoba,Spanish,President – Daniel Ortega
Niger,Niamey,CFA Franc,French,PM – Brigi Rafini
Nigeria,Abuja,Naira,English,PM– Sir Abubakar Tafawa Balewa
Norway,Oslo,Norwegian krone,Norwegian,PM – Erna Solberg
Oman,Muscat,Omani rial,Arabic,Sultan and PM – Qaboos bin Said al Said
Pakistan,Islamabad,Rupee,Urdu; English,PM – Imran Khan
Palau,Melekeok,U.S. dollar,English; Palauan,President – Thomas Remengesau Jr.
Panama,Panama City,Balboa; U.S. dollar,Spanish,President – Juan Carlos Varela
Papua New Guinea,Port Moresby ,Kina,English; Tok Pisin;,PM – Peter O'Neill
Paraguay,Asuncion,Guaraní,Spanish; Guarani,President – Mario Abdo Benítez
Peru,Lima,Nuevo sol,Spanish,PM – Salvador del Solar
Philippines,Manila,Peso,Filipino; English,President – Rodrigo Duterte
Poland,Warsaw,Zloty,Polish,PM – Mateusz Morawiecki
Portugal,Lisbon,Euro/Escudo,Portuguese,PM – António Costa
Qatar,Doha,Qatari riyal,Arabic,PM – Sheikh Abdullah bin Nasser
Romania,Bucharest,Romanian Rupee,Romanian,PM – Viorica Dăncilă
Russia,Moscow,Ruble,Romanian,PM – Dmitry Medvedev
Rwanda,Kigali,Rwandan franc,Russian,PM – Édouard Ngirente
Saint Kitts and Nevis,Basseterre,East Caribbean dollar,English,PM – Timothy Harris
Saint Lucia,Castries,East Caribbean dollar,English,PM – Allen Chastanet
Samoa,Apia,Tala,"Samoan, English",PM – Tuilaepa Aiono Sailele Malielegaoi
San Marino,San Marino,Euro,Italian,Pasquale Valentini
Sao Tome and Principe,Sao Tome,Dobra,Portuguese,PM – Patrice Trovoada
Saudi Arabia,Riyadh,Riyal,Arabic,King and PM – Salman of Saudi Arabia
Senegal,Dakar,CFA Franc,French,PM – Mohammed Dionne
Serbia,Belgrade,Dinar,Serbian,PM – Ana Brnabić
Seychelles,Victoria,Rupee,"Creole, French English",President – Danny Faure
Sierra Leone,Freetown,Leone,English,President – Julius Maada Bio
Singapore,Singapore,Dollar,"English, Chinese and Malay",PM – Lee Hsien Loong
Slovakia,Bratislava,Euro,Slovak,PM – Peter Pellegrini
Slovenia,Ljubljana,Tolar; euro,Slovene,PM – Marjan Šarec
Solomon Islands,Honiara,Dollar,English,PM – Rick Houenipwela
Somalia,Mogadishu,Shilling,Arabic,PM – Hassan Ali Khayre
South Africa,Pretoria/Cape Town,Rand,Afrikaans,President – Cyril Ramaphosa
South Sudan,Juba,Sudanese Pound,English,President – Salva Kiir Mayardit
Spain,Madrid,Euro/Peseta,"Spanish, Catalan Galician , Gasque",PM - Pedro Sánchez
Sri Lanka,Colombo,Sri Lankan rupee,"Sinhala, Tamil",PM – Ranil Wickremesinghe
Sudan,Khartoum,Sudanese Pound,"Arabic, English",PM –Mohamed Tahir Ayala
Suriname,Paramaribo,Dollar,Dutch,President – Dési Bouterse
Swaziland,Mbabane,Lilangeni,"English, Swati",PM –Ambrose Mandvulo Dlamini
Sweden,Stockholm,Krona,Swedish,PM – Stefan Löfven
Switzerland,Berne,Swiss franc,"German, French, Italian, Romansh",President - Ueli Maurer
Syria,Damascus,Pound,Arabic,PM – Imad Khamis
Taiwan,Taipei,Taiwan dollar,Standard Chinese,PM– Su Tseng-chang
Tajikistan,Dushanbe,somoni,Tajik; Russian,PM – Kokhir Rasulzoda
Tanzania,Dar es Salaam,Shilling,"Swahili, English",PM – Kassim Majaliwa
Thailand,Bangkok,Baht,Thai,PM – Prayut Chan-o-cha
Togo,Lome,CFA Franc,French,PM – Komi Sélom Klassou
Tonga,Nuku'alofa,Pa'anga,English,PM – ʻAkilisi Pōhiva
Trinidad and Tobago,Port-of-Spain,Dollar,English,PM – Keith Rowley
Tunisia,Tunis,Tunisian dinar,Arabic,PM-Youssef Chahed
Turkey,Ankara,Lira (YTL),Turkish,PM – Binali Yıldırım
Turkmenistan,Ashgabat,Manat,Turkmen,President – Gurbanguly Berdimuhamedow
Tuvalu,Vaiaku village,Dollar,Tuvaluan; English,PM – Enele Sopoaga
Uganda,Kampala,Ugandan new shilling,"Swahili, English, Luganda",PM – Ruhakana Rugunda
Ukraine,Kiev,Hryvnia,Ukrainian,PM – Volodymyr Groysman
United Arab Emirates,Abu Dhabi,U.A.E. Dirham,Arabic,PM – Sheikh Mohammed bin Rashid Al Maktoum
United Kingdom,London,Pound sterling,English,PM – Theresa May
United States of America,Washington D.C.,Dollar,English,President – Donald Trump
Uruguay,Montevideo,Peso,Spanish,President – Tabaré Vázquez
Uzbekistan,Tashkent,Sum,Uzbek,PM – Abdulla Aripov
Vanuatu,Port-Vila,Vatu,"Bislama, French, English",PM – Charlot Salwai
Vatican City,Vatican City,Euro,Italian,Cardinal Pietro Parolin
Venezuela,Caracas,Bolivar,Spanish,President – Nicolás Maduro
Vietnam,Hanoi,Dong,Vietnamese,Nguyễn Phú Trọng
Yemen,Sanaa,Rial,Arabic,PM – Ahmed Obeid bin Daghr
Zambia,Lusaka,Kwacha,English,PM – Mainza Chona
Zimbabwe,Harare,Dollar,"English, Shona, Ndebele",PM – Robert Mugabe
